date,home_team,away_team,home_goals,away_goals,sede_ciudad,sede_pais,sede_nombre,odd_home,odd_draw,odd_away,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2021-07-17 16:00:00,Deportivo Municipal,UTC,1.0,1.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210717_Deportivo-Municipal_UTC,0.0,0.89,1.91,2,5,6,10,55.5,44.5,1,2,0,0,4,6
2021-07-17 18:15:00,San Martin,Carlos A. Mannucci,0.0,2.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210717_San-Martin_Carlos-A.-Mannucci,0.0,0.65,0.64,2,2,4,4,53.0,47.0,2,4,0,0,3,2
2021-07-17 20:30:00,Academia Cantolao,Sporting Cristal,2.0,4.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210717_Academia-Cantolao_Sporting-Cristal,0.0,1.42,0.52,4,4,9,7,53.9,46.1,3,4,0,0,6,3
2021-07-18 16:00:00,Sport Huancayo,Melgar,0.0,3.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210718_Sport-Huancayo_Melgar,0.0,1.5,1.41,6,3,11,5,56.6,43.4,1,2,0,0,6,7
2021-07-18 18:15:00,Sport Boys,Cienciano del Cusco,1.0,4.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210718_Sport-Boys_Cienciano-del-Cusco,0.0,1.37,2.54,3,8,7,18,48.1,51.9,3,2,0,0,3,9
2021-07-18 20:30:00,Alianza Lima,Ayacucho FC,4.0,1.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210718_Alianza-Lima_Ayacucho-FC,0.0,1.33,0.05,4,1,11,3,46.9,53.1,1,3,0,0,10,0
2021-07-19 16:00:00,Deportivo Binacional,Alianza Universidad,1.0,1.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210719_Deportivo-Binacional_Alianza-Universidad,0.0,1.38,1.92,6,9,13,18,49.7,50.3,1,0,0,0,4,12
2021-07-19 18:15:00,César Vallejo,Cusco FC,1.0,0.0,Lima,Peru,Estadio Monumental de Lima,,,,Liga 1,,20210719_César-Vallejo_Cusco-FC,0.0,0.34,0.81,1,4,3,10,45.0,55.0,0,2,0,0,4,5
2021-07-19 20:30:00,Universitario,Alianza Atlético,2.0,2.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210719_Universitario_Alianza-Atlético,0.0,1.98,1.29,5,3,12,6,54.2,45.8,2,3,0,0,4,4
2021-07-23 18:15:00,Cienciano del Cusco,Academia Cantolao,0.0,0.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210723_Cienciano-del-Cusco_Academia-Cantolao,24.0,0.52,1.88,1,7,1,17,47.9,52.1,2,1,0,0,6,14
2021-07-23 20:30:00,Carlos A. Mannucci,Deportivo Municipal,1.0,2.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210723_Carlos-A.-Mannucci_Deportivo-Municipal,12.0,1.11,1.68,3,5,6,10,50.1,49.9,1,2,0,0,2,6
2021-07-24 16:00:00,Alianza Atlético,Sport Huancayo,1.0,0.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210724_Alianza-Atlético_Sport-Huancayo,12.0,0.97,0.49,4,0,9,2,51.8,48.2,1,1,0,0,4,3
2021-07-24 18:15:00,Ayacucho FC,Sport Boys,1.0,2.0,Lima,Peru,Estadio Monumental de Lima,,,,Liga 1,,20210724_Ayacucho-FC_Sport-Boys,0.0,0.89,1.51,2,5,4,12,51.5,48.5,1,0,0,0,5,7
2021-07-24 20:30:00,Alianza Universidad,Alianza Lima,0.0,0.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210724_Alianza-Universidad_Alianza-Lima,-12.0,1.94,0.71,5,2,11,5,50.2,49.8,8,0,0,0,6,6
2021-07-25 16:00:00,Cusco FC,Deportivo Binacional,2.0,2.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210725_Cusco-FC_Deportivo-Binacional,-12.0,2.2,0.83,7,4,16,8,53.8,46.2,1,3,0,0,7,3
2021-07-25 18:15:00,Melgar,César Vallejo,1.0,1.0,Lima,Peru,Estadio Monumental de Lima,,,,Liga 1,,20210725_Melgar_César-Vallejo,0.0,1.05,0.52,3,2,7,2,57.4,42.6,0,1,0,0,6,2
2021-07-25 20:30:00,UTC,Universitario,0.0,1.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210725_UTC_Universitario,0.0,1.49,1.17,5,4,11,7,51.9,48.1,2,3,0,0,10,9
2021-07-30 16:00:00,Academia Cantolao,Ayacucho FC,2.0,2.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210730_Academia-Cantolao_Ayacucho-FC,12.827614673444032,0.4,1.18,2,4,3,7,53.4,46.6,0,1,0,0,5,6
2021-07-30 18:15:00,San Martin,Cienciano del Cusco,1.0,1.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210730_San-Martin_Cienciano-del-Cusco,-23.17238532655597,0.36,0.55,1,1,0,3,45.3,54.7,3,0,0,0,2,3
2021-07-30 20:30:00,Deportivo Municipal,Sporting Cristal,1.0,1.0,Lima,Peru,Estadio Alejandro Villanueva,,,,Liga 1,,20210730_Deportivo-Municipal_Sporting-Cristal,0.4143005863770668,0.84,0.05,3,1,3,2,44.9,55.1,1,0,0,0,4,5
2021-07-31 16:00:00,César Vallejo,Alianza Atlético,2.0,0.0,Lima,Peru,Estadio Monumental de Lima,,,,Liga 1,,20210731_César-Vallejo_Alianza-Atlético,0.4143005863770668,0.99,1.74,2,6,5,15,50.8,49.2,2,1,0,0,5,6
2021-07-31 18:15:00,Universitario,Carlos A. Mannucci,1.0,3.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210731_Universitario_Carlos-A.-Mannucci,12.414300586377067,0.78,1.0,3,3,8,4,56.7,43.3,0,2,0,0,3,5
2021-07-31 20:30:00,Sport Huancayo,UTC,0.0,0.0,Lima,Peru,Estadio Monumental de Lima,,,,Liga 1,,20210731_Sport-Huancayo_UTC,-11.585699413622933,1.27,1.77,4,5,9,12,54.5,45.5,1,4,0,0,7,8
2021-08-01 16:00:00,Cusco FC,Alianza Universidad,2.0,3.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210801_Cusco-FC_Alianza-Universidad,-12.0,0.87,1.53,2,5,5,11,57.6,42.4,6,1,1,0,4,7
2021-08-01 18:15:00,Deportivo Binacional,Melgar,1.0,5.0,Callao,Peru,Estadio Miguel Grau del Callao,,,,Liga 1,,20210801_Deportivo-Binacional_Melgar,-12.414300586377067,0.27,1.75,1,5,1,8,48.6,51.4,2,2,0,0,1,5
2021-08-01 20:30:00,Sport Boys,Alianza Lima,0.0,0.0,Lima,Peru,Estadio Hugo Sotil Yerén,,,,Liga 1,,20210801_Sport-Boys_Alianza-Lima,-11.585699413622933,0.7,1.0,0,2,0,3,53.0,47.0,1,0,0,0,3,4
2021-08-02 22:00:00,Ayacucho FC,San Martin,1.0,0.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210802_Ayacucho-FC_San-Martin,-12.35631230998706,1.44,0.05,3,2,8,6,48.9,51.1,2,0,0,0,5,2
2021-08-03 00:30:00,Cienciano del Cusco,Deportivo Municipal,2.0,3.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210803_Cienciano-del-Cusco_Deportivo-Municipal,-2.026767051484285,1.82,2.17,6,7,15,16,56.1,43.9,1,3,0,0,9,7
2021-08-03 18:00:00,UTC,César Vallejo,0.0,0.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210803_UTC_César-Vallejo,-36.38569819741997,0.95,0.82,2,3,5,8,52.9,47.1,2,3,0,0,3,1
2021-08-03 20:30:00,Carlos A. Mannucci,Sport Huancayo,1.0,1.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210803_Carlos-A.-Mannucci_Sport-Huancayo,35.19998357127929,0.82,0.58,1,3,0,8,52.1,47.9,2,3,0,0,4,5
2021-08-04 00:30:00,Sporting Cristal,Universitario,2.0,2.0,Lima,Peru,Estadio Nacional de Lima,,,,Liga 1,,20210804_Sporting-Cristal_Universitario,12.442901798515095,0.44,1.59,2,5,4,9,52.3,47.7,0,1,0,0,5,2
2021-08-04 17:00:00,Alianza Atlético,Deportivo Binacional,0.0,3.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210804_Alianza-Atlético_Deportivo-Binacional,11.585717058546606,1.18,1.91,5,5,11,9,46.0,54.0,5,3,0,0,12,2
2021-08-04 19:30:00,Melgar,Cusco FC,2.0,2.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210804_Melgar_Cusco-FC,46.74280645726162,1.47,1.77,4,6,8,14,56.3,43.7,2,1,0,0,6,6
2021-08-04 22:00:00,Alianza Universidad,Sport Boys,2.0,0.0,Lima,Peru,Estadio Universidad San Marcos,,,,Liga 1,,20210804_Alianza-Universidad_Sport-Boys,11.59999237404918,0.88,0.18,2,2,5,4,48.2,51.8,0,3,0,0,2,2
